Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Aruba,ABW,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357352107,398466301,751980390,974447561,1650460272,2735434204,3118593133,3478371183,3860103233,3893487885.96,4099957979.37,3717293733,,,,
Africa Western and Central,AFW,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214.98308,909,4778,46810447.51,46157856.05,0,24550118.83,63665814314,48194975481,93398411240,16077500222,75610980219,89775916947,106582000000,120720000000,86856306430.96,150735662534.97,158703989178.38,165815694610.38,193900579095.65,308111392108.69,,
Albania,ALB,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7238000000,9956505000,9459141000,12186045000,,,,24919806165,28273244000,32210857110,,,,,,,53598580000,55030350000,57792160000,68655240000,69235390000,76624030000,85140950000,90998770000,96436660000,,
Andorra,AND,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103000000,122000000,92000000,,,,,,,,,,,,4303497511.32,4444523251.11,5079093892,5271407639.72,4271263056.63,4704837912.38,4592684238.41,4807606911.49,4553573951.65,,
Argentina,ARG,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3121100000,8969600000,13169400000,13321200000,14084900000,12597500000,10629600000,10900700000,10635700000,9654900000,9437600000,8455400000,8661400000,10501412916.14,13480994567.79,16959000000,24028100000,42583100000,52485400000,75710400000,100217200000,133641900000,174543900000,229383700000,299102900000,410854400000,568225300000,724320900000,897830800000,1213025465546,,
Armenia,ARM,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50828161800,63881180300,80214400000,88471032730,105001406410,102903090609.2,105335919300,123449550468,129059000000,17631669817.8,17005850750,8698554400,0,0,0,0,,
American Samoa,ASM,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585000000,561000000,595000000,616000000,727000000,777000000,654000000,1055000000,905000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Austria,AUT,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,3087141995.45068,3598032019.65073,4215751110.07754,4848004767.33792,5392324295.25519,6171377077.53465,7310887117.28669,7894449975.6546,8741815222.05184,9624063428.84966,10164022586.7169,10741771618.3513,11719947966.2507,12642166231.8409,13290407912.6182,13809291948.5767,14650843368.2405,15607944594.2312,16691496551.674,17985799728.2036,19861485578.0761,21246629797.3155,23058363553.1202,26786910000,27795320000,28599830000,29539960000,30586070000,31410440000,32327390000,32817700000,33607310000,34964460000,35876270000,37413830000,38998740000,40711010000,41192460000,42000930000,43905400000,45476040000,47287460000,48782230000,50363610000,52314850000,54391520000,57094720000,59510540000,,
Azerbaijan,AZE,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,89381000,109764400,144788000,146600600,,,,,,,,,955300000,967900000,1109900000,1226800000,1422500000,1584200000,1743800000,1805200000,1921000000,2085700000,2327100000,2989800000,,
Burundi,BDI,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,34000000,40000000,49000000,53000000,68000000,87000000,103000000,121000000,336000000,,,,,,,,,,2507000000,2855000000,3023000000,3085000000,3143000000,3288000000,3731000000,4281450000,5357400000,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31148500000,31868100000,32970800000,34311800000,35528800000,36475900000,38023200000,39880000000,40589900000,41808300000,42962400000,44941800000,47749800000,50460700000,51531000000,52610000000,55181500000,57429900000,58841100000,59627200000,61063300000,60235800000,62004500000,63452800000,65530400000,,
Benin,BEN,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,1950000000,1947000000,2128000000,2529000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bangladesh,BGD,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Bulgaria,BGR,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4846000,11745000,21269000,29680000,45413000,86640000,148363000,1458881000,2130130000,2474156000,2967718000,2975549000,3175428000,3692196000,4079504000,4420282000,4296832000,4890278000,5392646000,5273073000,4969795000,5417004000,5596034000,6116026000,6575341000,6965723000,7369543000,8456563000,9514141000,10613563000,,
Bahrain,BHR,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,0,0,1900000,6500000,7700000,8100000,10800000,13700000,18800000,21400000,19300000,21500000,34300000,32400000,33300000,39600000,37600000,40900000,37300000,47000000,46400000,62900000,64400000,33000000,72400000,77800000,81100000,76500000,52800000,55000000,52700000,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,397000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bosnia and Herzegovina,BIH,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2099805771.96,2535973072.21,2908609516.63,3568510900.28,3638386382.92,3812947312.04,4036390620,4046648071,4116680138,4234847912.64,4329617912.08,4473559004.31,4734232634.97,5041780624.23,5345659236.38,,
Belarus,BLR,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,10010,144080,1136530,1817340,3553610,7001260,29785850,92875000,186339000,284562000,388281600,537421600,734546000,928774100,1125668642.6,1449652800,1579940700,1924944532.7,2880190000,5543570000,7629800000,9090916100,9715235683.4,10090785550.78,11004154131,12911601726,14564980995.47,,
Belize,BLZ,Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,184000,391000,281000,318000,462000,306000,363000,380000,366000,445000,0,9043000,9984000,0,0,0,0,0,0,0,0,770012.529292585,775800.638607023,782138.764955659,762475.975299324,597386.548103061,0,,,,
