Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Aruba,ABW,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24250612198.98,25646905181.79,31355872125.7044,51882246429.27,66593592311.2775,75823714797.6542,79297407099.239,81114839641,80965841103.0683,92750755156.87,116209545034.17,127240659217.53,,,,
Africa Western and Central,AFW,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2797837874,26311270993,57648356492,103353000000,228200000000,355630000000,551316000000,984460000000,1076320000000,1704030000000,1024060000000,1278470000000,1691010000000,1812070000000,1871680000000,1939827249314.43,1534813668876.62,1610688479594.56,1868949099858.53,2471738951326.29,3060457302239.02,,
Albania,ALB,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30167000000,29629954000,32817102000,56068290000,,,,100635310000,116544760000,132520460000,,,,,,,234398630000,233018460000,222802900000,255367830000,265573270000,259012440000,292877950000,303547340000,306985340000,,
Andorra,AND,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872000000,2990000000,3481000000,,,,,,,,,,,,4139235254.74,5004550466.9,5307334205,5266555942.6,759347330.52,570323390.73,941124350.67,919656176.04,14924513139,,
Argentina,ARG,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3334800000,9059800000,12573700000,18956200000,20920700000,20782800000,22239500000,25449700000,26996600000,25732900000,27347800000,25055700000,30692100000,47059282177.48,63553873916.38,76331000000,92200500000,111658500000,153108100000,154531600000,213581700000,275943500000,341684800000,416961600000,577467060000,734578650000,995383800000,1166188900000,1473359000000,2283987271109.47,,
Armenia,ARM,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267043777700,321531856485.3,382384726600,502705361964.5,618079775884.5,518556617311.4,590658379399.94,650540284311,746274000000,983389805236.5,1042943423026,1055694002803,1078187054313,1156338063844,1255761498131,1458190451561,,
American Samoa,ASM,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,7948000000,8479000000,10900000000,14162000000,16920000000,19755000000,21438000000,23477000000,27478000000,32700000000,37961000000,41131000000,44902000000,52971000000,58840000000,66469000000,75073000000,83393000000,90774000000,92737000000,87365000000,88759000000,93359000000,104919000000,115698000000,124557000000,130981000000,139378000000,152575000000,175845000000,178129000000,195155000000,209613000000,229089000000,245016000000,261794000000,285561000000,277782000000,267099000000,288287000000,316642000000,337344000000,350220000000,355227000000,369251000000,388558000000,427289000000,455632000000,,
